commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,night,all-year,R1,0.66170000000,0,MUS$2010/PJ,2030
heat,all-week,night,all-year,R1,1.16670000000,0,MUS$2010/PJ,2030
CO2f,all-week,night,all-year,R1,36.32210000000,0,MUS$2010/kt,2030
electricity,all-week,morning,all-year,R1,0.66670000000,1,MUS$2010/PJ,2030
gas,all-week,morning,all-year,R1,0.94530000000,1,MUS$2010/PJ,2030
heat,all-week,morning,all-year,R1,1.66670000000,1,MUS$2010/PJ,2030
CO2f,all-week,morning,all-year,R1,51.88870000000,1,MUS$2010/kt,2030
electricity,all-week,mid-afternoon,all-year,R1,0.46670000000,2,MUS$2010/PJ,2030
gas,all-week,mid-afternoon,all-year,R1,0.66170000000,2,MUS$2010/PJ,2030
heat,all-week,mid-afternoon,all-year,R1,1.16670000000,2,MUS$2010/PJ,2030
CO2f,all-week,mid-afternoon,all-year,R1,36.32210000000,2,MUS$2010/kt,2030
electricity,all-week,early-peak,all-year,R1,0.66670000000,3,MUS$2010/PJ,2030
gas,all-week,early-peak,all-year,R1,0.94530000000,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,R1,1.66670000000,3,MUS$2010/PJ,2030
CO2f,all-week,early-peak,all-year,R1,51.88870000000,3,MUS$2010/kt,2030
electricity,all-week,late-peak,all-year,R1,1.40000000000,4,MUS$2010/PJ,2030
gas,all-week,late-peak,all-year,R1,1.98510000000,4,MUS$2010/PJ,2030
heat,all-week,late-peak,all-year,R1,3.50000000000,4,MUS$2010/PJ,2030
CO2f,all-week,late-peak,all-year,R1,108.96620000000,4,MUS$2010/kt,2030
electricity,all-week,evening,all-year,R1,0.93330000000,5,MUS$2010/PJ,2030
gas,all-week,evening,all-year,R1,1.32340000000,5,MUS$2010/PJ,2030
heat,all-week,evening,all-year,R1,2.33330000000,5,MUS$2010/PJ,2030
CO2f,all-week,evening,all-year,R1,72.64420000000,5,MUS$2010/kt,2030
electricity,all-week,early-morning,all-year,R1,0.93330000000,6,MUS$2010/PJ,2030
gas,all-week,early-morning,all-year,R1,1.32340000000,6,MUS$2010/PJ,2030
heat,all-week,early-morning,all-year,R1,2.33330000000,6,MUS$2010/PJ,2030
CO2f,all-week,early-morning,all-year,R1,72.64420000000,6,MUS$2010/kt,2030
electricity,all-week,late-afternoon,all-year,R1,0.93330000000,7,MUS$2010/PJ,2030
gas,all-week,late-afternoon,all-year,R1,1.32340000000,7,MUS$2010/PJ,2030
heat,all-week,late-afternoon,all-year,R1,2.33330000000,7,MUS$2010/PJ,2030
CO2f,all-week,late-afternoon,all-year,R1,72.64420000000,7,MUS$2010/kt,2030
electricity,all-week,night,all-year,R1,0.50400000000,0,MUS$2010/PJ,2032
gas,all-week,night,all-year,R1,0.72460000000,0,MUS$2010/PJ,2032
heat,all-week,night,all-year,R1,1.26000000000,0,MUS$2010/PJ,2032
CO2f,all-week,night,all-year,R1,39.77360000000,0,MUS$2010/kt,2032
electricity,all-week,morning,all-year,R1,0.72000000000,1,MUS$2010/PJ,2032
gas,all-week,morning,all-year,R1,1.03510000000,1,MUS$2010/PJ,2032
heat,all-week,morning,all-year,R1,1.80000000000,1,MUS$2010/PJ,2032
CO2f,all-week,morning,all-year,R1,56.81950000000,1,MUS$2010/kt,2032
electricity,all-week,mid-afternoon,all-year,R1,0.50400000000,2,MUS$2010/PJ,2032
gas,all-week,mid-afternoon,all-year,R1,0.72460000000,2,MUS$2010/PJ,2032
heat,all-week,mid-afternoon,all-year,R1,1.26000000000,2,MUS$2010/PJ,2032
CO2f,all-week,mid-afternoon,all-year,R1,39.77360000000,2,MUS$2010/kt,2032
electricity,all-week,early-peak,all-year,R1,0.72000000000,3,MUS$2010/PJ,2032
gas,all-week,early-peak,all-year,R1,1.03510000000,3,MUS$2010/PJ,2032
heat,all-week,early-peak,all-year,R1,1.80000000000,3,MUS$2010/PJ,2032
CO2f,all-week,early-peak,all-year,R1,56.81950000000,3,MUS$2010/kt,2032
electricity,all-week,late-peak,all-year,R1,1.51200000000,4,MUS$2010/PJ,2032
gas,all-week,late-peak,all-year,R1,2.17370000000,4,MUS$2010/PJ,2032
heat,all-week,late-peak,all-year,R1,3.78000000000,4,MUS$2010/PJ,2032
CO2f,all-week,late-peak,all-year,R1,119.32090000000,4,MUS$2010/kt,2032
electricity,all-week,evening,all-year,R1,1.00800000000,5,MUS$2010/PJ,2032
gas,all-week,evening,all-year,R1,1.44920000000,5,MUS$2010/PJ,2032
heat,all-week,evening,all-year,R1,2.52000000000,5,MUS$2010/PJ,2032
CO2f,all-week,evening,all-year,R1,79.54720000000,5,MUS$2010/kt,2032
electricity,all-week,early-morning,all-year,R1,1.00800000000,6,MUS$2010/PJ,2032
gas,all-week,early-morning,all-year,R1,1.44920000000,6,MUS$2010/PJ,2032
