,timeslice,commodity,region,installed,technology,year,agent,category,sector,supply
173,"('all-year', 'all-week', 'morning')",gas,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
174,"('all-year', 'all-week', 'morning')",heat,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.69825000000
175,"('all-year', 'all-week', 'morning')",heat,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.43925000000
176,"('all-year', 'all-week', 'morning')",heat,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
177,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,45.18375750000
178,"('all-year', 'all-week', 'morning')",CO2f,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
179,"('all-year', 'all-week', 'morning')",CO2f,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
180,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
181,"('all-year', 'all-week', 'afternoon')",electricity,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
182,"('all-year', 'all-week', 'afternoon')",electricity,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
183,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
184,"('all-year', 'all-week', 'afternoon')",gas,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
185,"('all-year', 'all-week', 'afternoon')",gas,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
186,"('all-year', 'all-week', 'afternoon')",heat,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.46550000000
187,"('all-year', 'all-week', 'afternoon')",heat,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.29283333333
188,"('all-year', 'all-week', 'afternoon')",heat,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
189,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,30.12250500000
190,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
191,"('all-year', 'all-week', 'afternoon')",CO2f,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
192,"('all-year', 'all-week', 'early-peak')",electricity,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
193,"('all-year', 'all-week', 'early-peak')",electricity,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
194,"('all-year', 'all-week', 'early-peak')",electricity,R1,2025.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
195,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,gasboiler,2025.00000000000,A1,retrofit,residential,0.00000000000
196,"('all-year', 'all-week', 'early-peak')",gas,R1,2020.00000000000,heatpump,2025.00000000000,A1,retrofit,residential,0.00000000000
